sku,product_name,category,launch_year,original_price
LAP1001,EcoBook Pro 14,Laptop,2024,75000
LAP1002,EcoBook Air 13,Laptop,2023,68000
LAP1003,EcoBook Basic 15,Laptop,2022,52000
LAP1004,EcoBook Pro 16,Laptop,2024,92000
LAP1005,EcoBook Air 15,Laptop,2023,72000
LAP1006,EcoBook Pro 13,Laptop,2022,70000
LAP1007,EcoBook Basic 14,Laptop,2021,48000
LAP1008,EcoBook Pro 15,Laptop,2023,82000
LAP1009,EcoBook Air 14,Laptop,2022,64000
LAP1010,EcoBook Basic 13,Laptop,2021,45000
LAP1011,EcoBook Ultra 15,Laptop,2025,98000
LAP1012,EcoBook Pro Max 14,Laptop,2025,105000
LAP1013,EcoBook Air Plus 13,Laptop,2024,76000
LAP1014,EcoBook Studio 16,Laptop,2025,115000
LAP1015,EcoBook Basic Plus 15,Laptop,2024,58000
LAP1016,EcoBook Pro X 14,Laptop,2025,110000
LAP1017,EcoBook Air X 15,Laptop,2024,84000
LAP1018,EcoBook Studio 14,Laptop,2023,88000
LAP1019,EcoBook Basic 16,Laptop,2024,62000
LAP1020,EcoBook Pro X 16,Laptop,2025,125000
LAP1021,EcoBook Air Lite 13,Laptop,2023,55000
LAP1022,EcoBook Pro Lite 15,Laptop,2024,79000
LAP1023,EcoBook Ultra 14,Laptop,2025,102000
LAP1024,EcoBook Studio 15,Laptop,2024,95000
LAP1025,EcoBook Basic X 14,Laptop,2023,57000
LAP1026,EcoBook Pro X 13,Laptop,2024,86000
LAP1027,EcoBook Air Max 15,Laptop,2025,92000
LAP1028,EcoBook Studio X 16,Laptop,2025,120000
LAP1029,EcoBook Basic Lite 13,Laptop,2022,49000
LAP1030,EcoBook Pro Ultra 15,Laptop,2025,118000
